Lifter Name,Age,Weight Class,Lift Type,Amount Lifted (kg)
Matthew Anderson,40,52 kg,Bench Press,215
Matthew Anderson,21,105 kg,Squat,131
Jessica Wilson,50,66 kg,Squat,300
Emily Davis,29,74 kg,Bench Press,394
Emily Davis,42,105 kg,Bench Press,375
Jane Smith,46,59 kg,Bench Press,244
John Doe,58,74 kg,Bench Press,199
Daniel Lee,27,83 kg,Bench Press,371
Jane Smith,20,83 kg,Squat,339
Daniel Lee,32,93 kg,Deadlift,170
Sarah Thomas,28,93 kg,Bench Press,370
Jessica Wilson,22,105 kg,Deadlift,266
Laura Taylor,27,120 kg,Squat,374
John Doe,63,74 kg,Deadlift,381
Jane Smith,44,105 kg,Deadlift,269
Chris Brown,61,83 kg,Deadlift,394
Sarah Thomas,26,105 kg,Squat,223
Jessica Wilson,55,83 kg,Bench Press,276
Jane Smith,58,105 kg,Bench Press,141
Daniel Lee,52,83 kg,Bench Press,312
Jessica Wilson,62,52 kg,Deadlift,319
Chris Brown,56,52 kg,Squat,186
Chris Brown,45,74 kg,Squat,342
Chris Brown,37,105 kg,Squat,325
Laura Taylor,53,83 kg,Squat,276
Michael Johnson,54,59 kg,Deadlift,281
Michael Johnson,28,120 kg,Deadlift,338
Daniel Lee,36,66 kg,Bench Press,156
Jessica Wilson,22,74 kg,Squat,192
Emily Davis,42,52 kg,Squat,385
John Doe,33,93 kg,Deadlift,230
Matthew Anderson,48,120 kg,Bench Press,130
Matthew Anderson,31,83 kg,Bench Press,390
Jane Smith,34,66 kg,Bench Press,158
Matthew Anderson,58,83 kg,Bench Press,341
Laura Taylor,63,120 kg,Bench Press,185
Jessica Wilson,29,59 kg,Bench Press,180
Laura Taylor,52,74 kg,Deadlift,187
Sarah Thomas,35,52 kg,Deadlift,302
Chris Brown,24,83 kg,Squat,185
John Doe,42,120 kg,Deadlift,189
Laura Taylor,47,120 kg,Squat,119
Michael Johnson,47,66 kg,Bench Press,244
Emily Davis,20,105 kg,Deadlift,260
Sarah Thomas,29,74 kg,Bench Press,165
Jessica Wilson,64,93 kg,Deadlift,113
Chris Brown,58,Open,Deadlift,386
John Doe,35,66 kg,Squat,263
Chris Brown,57,74 kg,Deadlift,131
Jessica Wilson,27,52 kg,Bench Press,269
Matthew Anderson,61,93 kg,Deadlift,101
Jane Smith,44,52 kg,Bench Press,355
Chris Brown,38,83 kg,Squat,226
Matthew Anderson,22,74 kg,Deadlift,305
John Doe,60,Open,Deadlift,100
Jane Smith,20,120 kg,Deadlift,356
Jane Smith,57,52 kg,Deadlift,110
Matthew Anderson,37,74 kg,Squat,372
Sarah Thomas,25,59 kg,Deadlift,348
Chris Brown,49,93 kg,Deadlift,111
Sarah Thomas,50,59 kg,Bench Press,378
John Doe,22,105 kg,Squat,355
Emily Davis,45,93 kg,Deadlift,163
John Doe,42,Open,Deadlift,210
Laura Taylor,60,93 kg,Squat,352
John Doe,26,120 kg,Deadlift,375
Matthew Anderson,62,66 kg,Squat,170
Jane Smith,44,93 kg,Bench Press,282
Michael Johnson,56,66 kg,Squat,269
Matthew Anderson,45,120 kg,Squat,366
Jessica Wilson,52,52 kg,Deadlift,214
Matthew Anderson,61,105 kg,Squat,382
Michael Johnson,30,59 kg,Bench Press,155
Jane Smith,26,52 kg,Squat,347
Emily Davis,58,120 kg,Bench Press,200
Jessica Wilson,63,120 kg,Deadlift,322
John Doe,50,83 kg,Bench Press,310
Michael Johnson,18,52 kg,Squat,228
Jessica Wilson,35,74 kg,Squat,103
Matthew Anderson,30,93 kg,Bench Press,290
Daniel Lee,34,66 kg,Bench Press,198
Michael Johnson,29,52 kg,Squat,384
Laura Taylor,33,74 kg,Squat,355
Laura Taylor,46,120 kg,Squat,181
Jane Smith,18,120 kg,Squat,172
Matthew Anderson,64,93 kg,Bench Press,191
Chris Brown,46,Open,Squat,178
Sarah Thomas,54,120 kg,Bench Press,390
Emily Davis,36,66 kg,Deadlift,192
Emily Davis,35,74 kg,Squat,310
Michael Johnson,43,52 kg,Bench Press,334
Sarah Thomas,58,59 kg,Squat,145
John Doe,43,66 kg,Squat,392
Chris Brown,22,120 kg,Squat,101
Daniel Lee,28,52 kg,Squat,140
Chris Brown,51,66 kg,Bench Press,195
Emily Davis,40,74 kg,Deadlift,213
Michael Johnson,51,66 kg,Bench Press,292
Emily Davis,64,Open,Bench Press,257
Jane Smith,36,52 kg,Squat,208
Jane Smith,53,66 kg,Squat,326
Michael Johnson,38,83 kg,Deadlift,272
Laura Taylor,23,83 kg,Deadlift,118
Michael Johnson,53,52 kg,Bench Press,305
Laura Taylor,31,93 kg,Deadlift,300
John Doe,58,52 kg,Deadlift,104
Jane Smith,57,Open,Bench Press,375
Matthew Anderson,48,59 kg,Bench Press,193
John Doe,29,Open,Bench Press,164
Jessica Wilson,26,52 kg,Deadlift,394
Michael Johnson,44,66 kg,Squat,122
Matthew Anderson,58,93 kg,Squat,127
John Doe,49,74 kg,Deadlift,245
Chris Brown,44,Open,Bench Press,289
John Doe,55,120 kg,Squat,286
Emily Davis,37,Open,Deadlift,346
Matthew Anderson,49,105 kg,Deadlift,218
Jane Smith,24,83 kg,Bench Press,218
Daniel Lee,55,83 kg,Squat,207
Chris Brown,29,120 kg,Squat,258
Daniel Lee,33,120 kg,Deadlift,236
Sarah Thomas,62,83 kg,Bench Press,243
Daniel Lee,22,74 kg,Deadlift,119
Chris Brown,53,83 kg,Deadlift,244
Laura Taylor,35,120 kg,Deadlift,366
Michael Johnson,62,105 kg,Bench Press,286
Sarah Thomas,43,66 kg,Deadlift,257
Matthew Anderson,30,120 kg,Bench Press,305
John Doe,18,83 kg,Deadlift,267
Matthew Anderson,50,59 kg,Bench Press,215
Daniel Lee,24,66 kg,Squat,399
Michael Johnson,53,105 kg,Deadlift,234
Daniel Lee,59,83 kg,Deadlift,206
Sarah Thomas,58,66 kg,Deadlift,106
Jessica Wilson,37,120 kg,Deadlift,141
Emily Davis,53,74 kg,Deadlift,305
Laura Taylor,47,52 kg,Deadlift,328
Matthew Anderson,60,120 kg,Deadlift,266
Emily Davis,41,59 kg,Squat,341
Matthew Anderson,43,66 kg,Bench Press,248
Matthew Anderson,38,Open,Bench Press,213
Sarah Thomas,62,83 kg,Squat,383
Sarah Thomas,26,52 kg,Bench Press,199
Chris Brown,56,120 kg,Bench Press,370
Chris Brown,40,Open,Squat,370
Jane Smith,57,83 kg,Bench Press,261
John Doe,33,Open,Bench Press,154
Laura Taylor,22,93 kg,Bench Press,194
Daniel Lee,29,59 kg,Deadlift,398
Michael Johnson,44,59 kg,Bench Press,242
Jane Smith,29,120 kg,Deadlift,363
John Doe,44,Open,Bench Press,285
Daniel Lee,30,74 kg,Bench Press,285
Jane Smith,46,Open,Squat,261
Daniel Lee,18,83 kg,Deadlift,365
Laura Taylor,23,Open,Deadlift,357
Jane Smith,56,120 kg,Deadlift,210
Jessica Wilson,31,105 kg,Deadlift,144
Michael Johnson,40,83 kg,Bench Press,255
John Doe,42,59 kg,Deadlift,250
Michael Johnson,44,93 kg,Deadlift,359
Daniel Lee,23,66 kg,Bench Press,348
Daniel Lee,36,66 kg,Bench Press,275
Emily Davis,62,83 kg,Bench Press,151
Jessica Wilson,64,83 kg,Bench Press,335
Chris Brown,46,66 kg,Squat,168
Laura Taylor,21,93 kg,Squat,236
Emily Davis,41,66 kg,Bench Press,200
Michael Johnson,27,66 kg,Bench Press,263
Daniel Lee,23,93 kg,Deadlift,153
Sarah Thomas,44,93 kg,Bench Press,117
Jane Smith,51,74 kg,Bench Press,159
Jessica Wilson,19,93 kg,Squat,171
Jane Smith,50,52 kg,Squat,100
Sarah Thomas,38,74 kg,Deadlift,196
Emily Davis,45,105 kg,Deadlift,364
Jane Smith,60,52 kg,Bench Press,171
John Doe,30,66 kg,Squat,192
Laura Taylor,49,93 kg,Squat,383
Emily Davis,63,105 kg,Deadlift,291
Sarah Thomas,45,93 kg,Deadlift,245
Daniel Lee,21,120 kg,Squat,188
Chris Brown,38,120 kg,Bench Press,168
Chris Brown,28,120 kg,Squat,112
Emily Davis,27,Open,Deadlift,111
Jessica Wilson,23,59 kg,Bench Press,110
Chris Brown,31,52 kg,Squat,156
Chris Brown,58,Open,Squat,158
Sarah Thomas,35,66 kg,Squat,111
John Doe,63,120 kg,Squat,260
John Doe,43,93 kg,Deadlift,320
Sarah Thomas,21,66 kg,Squat,341
Jessica Wilson,18,Open,Bench Press,215
John Doe,32,105 kg,Deadlift,328
Daniel Lee,32,120 kg,Deadlift,289
Emily Davis,41,93 kg,Deadlift,261
Matthew Anderson,24,59 kg,Deadlift,106
Sarah Thomas,33,93 kg,Bench Press,258
Daniel Lee,23,83 kg,Squat,197
Michael Johnson,18,66 kg,Deadlift,295
Jane Smith,57,66 kg,Squat,369
Laura Taylor,25,66 kg,Squat,259
Laura Taylor,35,105 kg,Bench Press,343
Daniel Lee,50,59 kg,Squat,307
Laura Taylor,47,74 kg,Bench Press,181
Jessica Wilson,49,105 kg,Deadlift,215
Sarah Thomas,33,120 kg,Deadlift,373
Matthew Anderson,29,Open,Squat,223
Matthew Anderson,61,74 kg,Deadlift,290
Jane Smith,49,59 kg,Bench Press,207
Chris Brown,36,Open,Deadlift,273
Daniel Lee,61,74 kg,Squat,282
Chris Brown,56,120 kg,Bench Press,291
Michael Johnson,40,93 kg,Deadlift,287
Laura Taylor,25,83 kg,Deadlift,313
Matthew Anderson,53,105 kg,Squat,386
Jessica Wilson,37,83 kg,Deadlift,152
Laura Taylor,23,74 kg,Bench Press,378
Sarah Thomas,18,93 kg,Squat,153
Sarah Thomas,61,120 kg,Bench Press,190
Daniel Lee,19,66 kg,Bench Press,364
Sarah Thomas,32,Open,Deadlift,251
Sarah Thomas,36,93 kg,Squat,214
Emily Davis,59,120 kg,Bench Press,393
Sarah Thomas,24,74 kg,Deadlift,109
Emily Davis,54,52 kg,Squat,389
Laura Taylor,61,66 kg,Squat,192
Michael Johnson,50,Open,Bench Press,238
Matthew Anderson,29,93 kg,Deadlift,319
Jane Smith,41,59 kg,Bench Press,242
Emily Davis,42,105 kg,Bench Press,359
Michael Johnson,26,Open,Squat,119
Jane Smith,37,59 kg,Squat,304
Laura Taylor,20,74 kg,Deadlift,155
Matthew Anderson,46,120 kg,Squat,318
Laura Taylor,56,52 kg,Bench Press,284
Jessica Wilson,64,66 kg,Deadlift,103
Laura Taylor,61,52 kg,Deadlift,109
Laura Taylor,51,93 kg,Bench Press,205
Jane Smith,31,83 kg,Squat,263
Jessica Wilson,63,93 kg,Deadlift,206
Daniel Lee,51,105 kg,Deadlift,231
Jessica Wilson,28,120 kg,Squat,178
Matthew Anderson,41,52 kg,Squat,380
Matthew Anderson,31,120 kg,Squat,396
Jane Smith,64,120 kg,Squat,172
Jessica Wilson,48,83 kg,Bench Press,268
Michael Johnson,18,Open,Squat,242
Sarah Thomas,61,Open,Squat,364
Jessica Wilson,25,83 kg,Deadlift,332
Jane Smith,21,74 kg,Bench Press,212
Matthew Anderson,64,74 kg,Squat,135
Jane Smith,18,59 kg,Deadlift,249
Laura Taylor,49,105 kg,Deadlift,231
Matthew Anderson,26,66 kg,Bench Press,266
Jessica Wilson,21,83 kg,Bench Press,314
John Doe,29,105 kg,Bench Press,297
Jane Smith,41,66 kg,Squat,225
Sarah Thomas,38,93 kg,Bench Press,100
Jessica Wilson,19,Open,Squat,148
Jane Smith,24,Open,Deadlift,249
Chris Brown,64,93 kg,Bench Press,147
Sarah Thomas,22,52 kg,Squat,196
Matthew Anderson,60,83 kg,Deadlift,130
Michael Johnson,53,Open,Deadlift,278
Matthew Anderson,40,66 kg,Squat,341
Emily Davis,48,93 kg,Deadlift,103
Emily Davis,56,52 kg,Bench Press,296
Laura Taylor,29,83 kg,Bench Press,270
Chris Brown,52,74 kg,Deadlift,253
Matthew Anderson,21,120 kg,Squat,128
Emily Davis,60,66 kg,Deadlift,149
Emily Davis,18,66 kg,Bench Press,207
Jane Smith,24,52 kg,Bench Press,302
Laura Taylor,51,52 kg,Bench Press,162
Jessica Wilson,47,Open,Squat,189
Jessica Wilson,39,105 kg,Squat,345
Laura Taylor,32,66 kg,Squat,216
Laura Taylor,40,93 kg,Squat,341
Emily Davis,45,59 kg,Deadlift,214
Michael Johnson,21,120 kg,Deadlift,348
Jane Smith,48,83 kg,Bench Press,397
Michael Johnson,57,52 kg,Bench Press,286
Sarah Thomas,64,74 kg,Bench Press,313
Jessica Wilson,41,93 kg,Squat,355
Matthew Anderson,42,105 kg,Deadlift,150
Matthew Anderson,61,93 kg,Bench Press,202
Matthew Anderson,31,93 kg,Deadlift,125
Michael Johnson,50,59 kg,Squat,106
Michael Johnson,50,52 kg,Squat,262
Matthew Anderson,43,120 kg,Bench Press,393
Chris Brown,27,74 kg,Squat,341
Jane Smith,55,74 kg,Bench Press,202
Jane Smith,62,59 kg,Deadlift,195
John Doe,35,83 kg,Deadlift,298
Michael Johnson,41,Open,Bench Press,364
Jane Smith,53,93 kg,Bench Press,225
Laura Taylor,53,Open,Squat,258
John Doe,52,105 kg,Bench Press,266
Michael Johnson,38,120 kg,Bench Press,102
Sarah Thomas,23,93 kg,Squat,226
Emily Davis,38,52 kg,Squat,222
Chris Brown,24,83 kg,Deadlift,312
Sarah Thomas,26,74 kg,Deadlift,182
Emily Davis,18,Open,Squat,344
John Doe,62,93 kg,Deadlift,319
John Doe,43,105 kg,Deadlift,132
Daniel Lee,56,93 kg,Deadlift,265
Chris Brown,25,93 kg,Deadlift,165
Emily Davis,27,52 kg,Squat,354
Emily Davis,24,52 kg,Squat,266
Jane Smith,47,120 kg,Squat,113
John Doe,23,120 kg,Deadlift,269
Laura Taylor,54,Open,Bench Press,361
Matthew Anderson,47,66 kg,Deadlift,347
Daniel Lee,57,59 kg,Bench Press,151
Michael Johnson,37,120 kg,Squat,202
Matthew Anderson,40,105 kg,Squat,367
Matthew Anderson,21,52 kg,Squat,220
Sarah Thomas,25,52 kg,Bench Press,164
Daniel Lee,47,105 kg,Deadlift,337
Chris Brown,38,93 kg,Bench Press,394
Jane Smith,26,93 kg,Squat,206
Matthew Anderson,36,120 kg,Squat,215
Jessica Wilson,40,52 kg,Squat,244
Chris Brown,40,52 kg,Bench Press,281
Emily Davis,39,93 kg,Bench Press,284
Jessica Wilson,64,93 kg,Deadlift,354
Laura Taylor,57,59 kg,Squat,370
Daniel Lee,52,93 kg,Squat,192
Daniel Lee,52,59 kg,Bench Press,183
Sarah Thomas,34,93 kg,Bench Press,236
Emily Davis,31,120 kg,Squat,226
Emily Davis,46,83 kg,Bench Press,183
Michael Johnson,31,120 kg,Deadlift,352
Laura Taylor,51,66 kg,Squat,260
Emily Davis,44,52 kg,Bench Press,250
Sarah Thomas,31,74 kg,Squat,372
Sarah Thomas,28,Open,Deadlift,141
Jessica Wilson,41,66 kg,Deadlift,259
Sarah Thomas,39,66 kg,Squat,296
Matthew Anderson,45,52 kg,Bench Press,120
Emily Davis,63,74 kg,Squat,210
Matthew Anderson,39,52 kg,Squat,177
Jessica Wilson,49,120 kg,Bench Press,162
Sarah Thomas,56,74 kg,Squat,372
John Doe,36,120 kg,Squat,318
Laura Taylor,45,59 kg,Deadlift,132
John Doe,44,93 kg,Deadlift,298
Jane Smith,41,93 kg,Bench Press,329
Daniel Lee,25,120 kg,Deadlift,316
Daniel Lee,31,52 kg,Bench Press,365
Chris Brown,38,74 kg,Bench Press,376
Jessica Wilson,48,74 kg,Bench Press,256
Laura Taylor,53,105 kg,Squat,115
Daniel Lee,28,52 kg,Deadlift,112
John Doe,53,59 kg,Bench Press,144
Jane Smith,23,120 kg,Bench Press,219
Daniel Lee,55,105 kg,Squat,177
Daniel Lee,40,Open,Deadlift,364
Chris Brown,51,120 kg,Deadlift,330
Michael Johnson,36,66 kg,Deadlift,230
Michael Johnson,18,105 kg,Deadlift,390
Chris Brown,49,59 kg,Deadlift,134
Chris Brown,62,Open,Deadlift,103
Emily Davis,48,83 kg,Squat,158
Jane Smith,63,93 kg,Squat,334
John Doe,20,Open,Squat,157
Daniel Lee,39,66 kg,Deadlift,351
Daniel Lee,36,59 kg,Deadlift,392
John Doe,34,74 kg,Deadlift,286
Sarah Thomas,53,59 kg,Squat,170
Matthew Anderson,30,74 kg,Deadlift,185
Sarah Thomas,26,Open,Deadlift,370
Jessica Wilson,44,Open,Deadlift,114
Michael Johnson,53,120 kg,Bench Press,309
Sarah Thomas,27,83 kg,Bench Press,159
Matthew Anderson,49,120 kg,Deadlift,198
Chris Brown,62,59 kg,Squat,196
Chris Brown,61,74 kg,Deadlift,154
John Doe,18,52 kg,Squat,123
Michael Johnson,63,52 kg,Bench Press,155
Jessica Wilson,38,74 kg,Bench Press,148
Laura Taylor,46,Open,Deadlift,250
Laura Taylor,56,74 kg,Bench Press,186
Jane Smith,54,59 kg,Deadlift,248
Emily Davis,48,83 kg,Deadlift,241
Michael Johnson,51,105 kg,Squat,162
John Doe,53,105 kg,Squat,276
Emily Davis,59,105 kg,Bench Press,390
Michael Johnson,44,59 kg,Bench Press,329
Michael Johnson,64,59 kg,Deadlift,134
Michael Johnson,36,Open,Deadlift,238
Emily Davis,42,120 kg,Bench Press,185
Jessica Wilson,42,52 kg,Squat,270
Jane Smith,32,105 kg,Squat,106
Laura Taylor,46,105 kg,Bench Press,256
Jessica Wilson,59,74 kg,Bench Press,291
Emily Davis,37,74 kg,Bench Press,334
Sarah Thomas,20,Open,Bench Press,280
Emily Davis,60,66 kg,Bench Press,176
John Doe,47,Open,Deadlift,339
Daniel Lee,19,59 kg,Bench Press,148
Emily Davis,39,74 kg,Deadlift,347
Daniel Lee,35,83 kg,Bench Press,115
Sarah Thomas,43,83 kg,Deadlift,116
Jessica Wilson,32,74 kg,Bench Press,291
Jane Smith,40,74 kg,Deadlift,137
Sarah Thomas,33,74 kg,Squat,385
Emily Davis,36,83 kg,Deadlift,190
Emily Davis,29,120 kg,Squat,234
Sarah Thomas,42,74 kg,Squat,314
Laura Taylor,23,66 kg,Bench Press,325
Matthew Anderson,61,59 kg,Deadlift,385
Chris Brown,24,66 kg,Bench Press,175
Laura Taylor,59,74 kg,Bench Press,236
Matthew Anderson,61,66 kg,Bench Press,260
Sarah Thomas,30,105 kg,Bench Press,371
Chris Brown,30,93 kg,Squat,278
Jane Smith,63,120 kg,Squat,308
Jessica Wilson,55,105 kg,Deadlift,228
John Doe,36,120 kg,Squat,173
Emily Davis,27,59 kg,Deadlift,204
Daniel Lee,26,66 kg,Squat,321
Emily Davis,58,74 kg,Bench Press,150
John Doe,26,Open,Squat,171
Emily Davis,18,59 kg,Deadlift,198
Daniel Lee,50,120 kg,Bench Press,380
Sarah Thomas,30,66 kg,Deadlift,390
Jessica Wilson,38,66 kg,Bench Press,244
Jane Smith,33,120 kg,Deadlift,366
Laura Taylor,41,Open,Deadlift,154
Emily Davis,62,52 kg,Bench Press,342
Chris Brown,35,74 kg,Deadlift,109
Laura Taylor,41,105 kg,Bench Press,248
John Doe,27,105 kg,Squat,119
Emily Davis,63,120 kg,Deadlift,342
Jessica Wilson,52,83 kg,Bench Press,378
Daniel Lee,50,83 kg,Deadlift,341
Daniel Lee,59,74 kg,Bench Press,163
Laura Taylor,24,Open,Squat,217
Chris Brown,45,120 kg,Deadlift,283
Laura Taylor,53,66 kg,Bench Press,242
Michael Johnson,37,Open,Deadlift,175
John Doe,56,59 kg,Bench Press,126
Jane Smith,19,66 kg,Bench Press,304
Daniel Lee,51,93 kg,Bench Press,394
Jessica Wilson,55,74 kg,Deadlift,133
Sarah Thomas,51,59 kg,Deadlift,399
Chris Brown,51,105 kg,Deadlift,143
Matthew Anderson,21,59 kg,Bench Press,392
Laura Taylor,40,Open,Bench Press,204
Matthew Anderson,55,93 kg,Squat,145
Daniel Lee,51,74 kg,Deadlift,260
Jane Smith,21,74 kg,Squat,230
Chris Brown,31,120 kg,Squat,358
Matthew Anderson,52,105 kg,Deadlift,304
Jessica Wilson,33,83 kg,Deadlift,379
Jane Smith,61,93 kg,Bench Press,185
Daniel Lee,51,93 kg,Deadlift,198
Michael Johnson,48,66 kg,Bench Press,396
Laura Taylor,59,74 kg,Squat,152
Jessica Wilson,46,Open,Squat,304
Laura Taylor,27,93 kg,Squat,293
Sarah Thomas,29,74 kg,Deadlift,241
Daniel Lee,43,83 kg,Bench Press,130
Daniel Lee,27,105 kg,Bench Press,307
Emily Davis,50,66 kg,Squat,156
Sarah Thomas,39,Open,Deadlift,149
Sarah Thomas,54,93 kg,Squat,329
Emily Davis,29,93 kg,Bench Press,196
Chris Brown,53,Open,Bench Press,383
Chris Brown,62,Open,Squat,321
Jane Smith,20,120 kg,Bench Press,264
Emily Davis,50,59 kg,Squat,239
Sarah Thomas,46,105 kg,Deadlift,182
Jessica Wilson,54,Open,Deadlift,304
Jane Smith,28,120 kg,Deadlift,313
Sarah Thomas,53,Open,Bench Press,143
Laura Taylor,47,93 kg,Deadlift,356
Jessica Wilson,61,120 kg,Deadlift,205
Chris Brown,59,52 kg,Bench Press,136
Michael Johnson,41,Open,Bench Press,114
John Doe,55,Open,Squat,151
Matthew Anderson,47,74 kg,Squat,139
Laura Taylor,51,66 kg,Deadlift,160
Jane Smith,53,93 kg,Bench Press,246
Jane Smith,60,120 kg,Deadlift,354
Jane Smith,34,120 kg,Bench Press,314
Sarah Thomas,38,105 kg,Bench Press,218
Laura Taylor,51,52 kg,Squat,364
Chris Brown,21,74 kg,Deadlift,348
Matthew Anderson,49,66 kg,Bench Press,327
Daniel Lee,63,83 kg,Bench Press,370
Jane Smith,54,93 kg,Bench Press,279
Michael Johnson,26,59 kg,Bench Press,205
Matthew Anderson,42,59 kg,Deadlift,244
Chris Brown,43,52 kg,Bench Press,206
Laura Taylor,43,83 kg,Deadlift,374
Sarah Thomas,55,83 kg,Bench Press,392
Matthew Anderson,28,52 kg,Squat,350
Matthew Anderson,50,66 kg,Bench Press,391
Emily Davis,21,74 kg,Squat,296
Michael Johnson,39,52 kg,Squat,346
Jessica Wilson,58,Open,Bench Press,121
Daniel Lee,31,66 kg,Bench Press,387
Chris Brown,50,Open,Bench Press,234
Jessica Wilson,60,Open,Squat,102
Laura Taylor,23,93 kg,Deadlift,243
Sarah Thomas,39,66 kg,Bench Press,287
John Doe,58,105 kg,Bench Press,286
Emily Davis,31,52 kg,Bench Press,350
Jessica Wilson,45,83 kg,Squat,139
Jessica Wilson,52,105 kg,Bench Press,388
Laura Taylor,18,93 kg,Squat,316
Matthew Anderson,62,120 kg,Squat,298
John Doe,57,105 kg,Bench Press,344
Michael Johnson,35,Open,Squat,332
Daniel Lee,50,59 kg,Squat,237
Jessica Wilson,50,52 kg,Squat,143
Jane Smith,29,Open,Bench Press,113
Jessica Wilson,60,83 kg,Deadlift,301
Jane Smith,24,83 kg,Deadlift,220
Sarah Thomas,36,93 kg,Bench Press,346
Michael Johnson,51,83 kg,Deadlift,241
Emily Davis,23,59 kg,Bench Press,304
John Doe,35,74 kg,Deadlift,222
Emily Davis,28,93 kg,Bench Press,393
John Doe,30,74 kg,Bench Press,304
Jane Smith,59,120 kg,Bench Press,178
Michael Johnson,35,Open,Bench Press,383
Michael Johnson,49,59 kg,Squat,375
Emily Davis,21,59 kg,Squat,377
Chris Brown,58,66 kg,Bench Press,106
Jessica Wilson,52,66 kg,Deadlift,199
Matthew Anderson,60,120 kg,Bench Press,345
Jessica Wilson,48,93 kg,Squat,394
Jane Smith,24,105 kg,Deadlift,119
Daniel Lee,18,52 kg,Deadlift,360
Jane Smith,22,Open,Squat,308
Sarah Thomas,22,93 kg,Bench Press,309
Daniel Lee,62,83 kg,Squat,266
Jane Smith,18,93 kg,Bench Press,177
Jessica Wilson,53,66 kg,Squat,335
Daniel Lee,40,105 kg,Bench Press,265
Michael Johnson,48,93 kg,Bench Press,381
Michael Johnson,57,105 kg,Bench Press,113
Sarah Thomas,47,105 kg,Deadlift,393
Michael Johnson,40,59 kg,Deadlift,398
Matthew Anderson,41,66 kg,Squat,332
Daniel Lee,44,74 kg,Squat,360
Emily Davis,29,66 kg,Deadlift,190
Chris Brown,20,93 kg,Deadlift,341
Jane Smith,39,66 kg,Bench Press,142
Daniel Lee,30,66 kg,Squat,311
Daniel Lee,34,74 kg,Bench Press,276
Matthew Anderson,20,52 kg,Squat,136
Matthew Anderson,45,52 kg,Bench Press,322
Matthew Anderson,30,93 kg,Deadlift,158
Jessica Wilson,59,120 kg,Deadlift,122
Michael Johnson,53,74 kg,Bench Press,165
Michael Johnson,18,52 kg,Deadlift,216
Jessica Wilson,31,93 kg,Bench Press,244
Sarah Thomas,55,83 kg,Bench Press,324
Jessica Wilson,36,59 kg,Squat,308
Chris Brown,53,52 kg,Deadlift,238
Jane Smith,28,52 kg,Squat,121
Jane Smith,37,52 kg,Deadlift,328
Matthew Anderson,62,83 kg,Squat,340
Matthew Anderson,45,83 kg,Bench Press,160
Emily Davis,27,52 kg,Squat,314
John Doe,56,Open,Bench Press,117
Sarah Thomas,30,120 kg,Bench Press,177
Michael Johnson,56,59 kg,Bench Press,347
Sarah Thomas,56,Open,Squat,334
Emily Davis,23,105 kg,Bench Press,168
Daniel Lee,40,83 kg,Deadlift,188
Chris Brown,30,Open,Squat,142
Laura Taylor,20,105 kg,Deadlift,174
Jessica Wilson,18,83 kg,Squat,357
Jessica Wilson,42,120 kg,Bench Press,378
Emily Davis,60,52 kg,Squat,237
Matthew Anderson,47,83 kg,Bench Press,320
Laura Taylor,46,74 kg,Squat,351
Jane Smith,50,83 kg,Deadlift,333
Laura Taylor,22,105 kg,Bench Press,350
Jessica Wilson,26,59 kg,Bench Press,203
Chris Brown,36,74 kg,Bench Press,190
John Doe,63,66 kg,Bench Press,364
Jessica Wilson,46,Open,Deadlift,157
Laura Taylor,25,93 kg,Bench Press,144
Matthew Anderson,26,52 kg,Deadlift,185
Jane Smith,34,105 kg,Bench Press,245
Daniel Lee,40,120 kg,Deadlift,233
Daniel Lee,60,Open,Squat,393
Sarah Thomas,33,66 kg,Bench Press,255
John Doe,38,Open,Squat,161
Michael Johnson,39,105 kg,Bench Press,288
Matthew Anderson,41,83 kg,Deadlift,284
Daniel Lee,51,Open,Bench Press,304
Daniel Lee,20,93 kg,Squat,175
Emily Davis,44,83 kg,Deadlift,255
Chris Brown,29,120 kg,Deadlift,216
Chris Brown,42,52 kg,Squat,309
Chris Brown,33,83 kg,Squat,310
Jane Smith,43,Open,Deadlift,307
Chris Brown,23,59 kg,Deadlift,360
Emily Davis,40,59 kg,Squat,116
Matthew Anderson,52,120 kg,Bench Press,172
Sarah Thomas,47,Open,Squat,239
Michael Johnson,30,120 kg,Squat,142
Jane Smith,62,93 kg,Bench Press,368
Laura Taylor,38,93 kg,Bench Press,225
Matthew Anderson,64,83 kg,Deadlift,392
Emily Davis,51,Open,Bench Press,122
Emily Davis,29,59 kg,Squat,224
Sarah Thomas,64,120 kg,Deadlift,271
John Doe,48,59 kg,Squat,224
Laura Taylor,64,93 kg,Bench Press,227
Laura Taylor,29,59 kg,Squat,223
Jessica Wilson,24,74 kg,Bench Press,315
Emily Davis,49,52 kg,Deadlift,280
Laura Taylor,52,66 kg,Squat,155
Matthew Anderson,59,120 kg,Bench Press,243
Jessica Wilson,39,83 kg,Bench Press,158
Jessica Wilson,28,59 kg,Deadlift,353
Jane Smith,45,66 kg,Squat,289
Laura Taylor,35,74 kg,Bench Press,239
Daniel Lee,56,105 kg,Deadlift,206
Jane Smith,24,Open,Squat,243
Matthew Anderson,29,93 kg,Squat,193
Jane Smith,47,105 kg,Bench Press,116
Michael Johnson,31,59 kg,Deadlift,129
John Doe,64,52 kg,Squat,193
Michael Johnson,37,52 kg,Squat,161
Chris Brown,25,59 kg,Squat,347
Chris Brown,34,93 kg,Bench Press,395
